['445', '837', '398', '207', '11', '348', '192', '109', '649', '112', '819', '131', '283', '863', '367', '171', '895', '285', '624', '897', '450', '357', '824', '927', '437', '506', '821', '286', '566', '848']
['345', '936', '408', '453', '344', '152', '905', '56', '473', '839', '417', '299', '292', '314', '219', '626', '587', '381', '522', '822', '250', '114', '187', '883', '268', '469', '229', '640', '704', '569']
['279', '28', '815', '661', '928', '107', '246', '912', '439', '287', '382', '392', '325', '671', '426', '935', '397', '943', '726', '202', '25', '487', '113', '85', '585', '701', '199', '177', '216', '593']
['427', '853', '215', '523', '324', '760', '76', '38', '409', '470', '251', '37', '480', '695', '812', '74', '376', '320', '504', '474', '232', '764', '290', '184', '471', '741', '433', '423', '52', '126']
['380', '3', '608', '68', '744', '342', '770', '555', '886', '253', '312', '82', '178', '422', '50', '492', '857', '497', '214', '554', '365', '394', '836', '185', '706', '307', '771', '573', '449', '777']
['179', '65', '125', '870', '817', '420', '667', '123', '240', '926', '150', '932', '322', '714', '45', '40', '254', '708', '385', '4', '511', '303', '59', '680']
['490', '413', '196', '404', '106', '549', '586', '334', '147', '729', '62', '599', '792', '731', '889', '100', '58', '673', '576', '297', '455', '36', '127', '143', '193', '460', '17', '826', '158', '736']
['859', '305', '860', '548', '238', '454', '682', '835', '393', '896', '117', '447', '536', '838', '517', '879', '323', '180', '831', '557', '164', '598', '791', '69', '524', '718', '944', '768', '260', '658']
['34', '60', '725', '558', '369', '148', '707', '617', '761', '756', '72', '327', '396', '236', '505', '647', '694', '820', '789', '99', '781', '589', '332', '374', '378', '547', '703', '318', '80', '88']
['693', '595', '452', '590', '477', '546', '600', '281', '735', '637', '579', '653', '531', '13', '306', '774', '594', '754', '405', '686', '797', '877', '650', '440', '483', '875', '639', '151', '256', '753']
['9', '712', '665', '941', '213', '352', '173', '387', '603', '278', '615', '166', '243', '898', '920', '515', '539', '234', '591', '377', '245', '711', '829', '809', '929', '748', '104', '609', '267', '481']
['496', '49', '751', '887', '115', '947', '924', '412', '155', '310', '834', '759', '493', '806', '384', '347', '567', '655', '659', '873', '479', '302', '165', '521', '529', '545']
['638', '733', '533', '233', '763', '864', '528', '129', '717', '431', '255', '98', '395', '142', '235', '689', '224', '63', '888', '814', '910', '710', '353', '509', '467', '602', '672', '167', '720', '801']
