['a716', 'a472', 'a622', 'a4', 'a218', 'a880', 'a86', 'a489', 'a736', 'a731', 'a189', 'a780', 'a866', 'a648', 'a812']
['a620', 'a827', 'a779', 'a84', 'a738', 'a884', 'a401', 'a217', 'a315', 'a133', 'a353', 'a456', 'a854', 'a609', 'a239']
['a868', 'a519', 'a845', 'a787', 'a162', 'a109', 'a564', 'a642', 'a474', 'a335', 'a786', 'a669', 'a668', 'a455', 'a340']
['a637', 'a286', 'a869', 'a246', 'a214', 'a719', 'a229', 'a607', 'a440', 'a153', 'a379', 'a894', 'a585', 'a323', 'a891']
['a718', 'a347', 'a69', 'a623', 'a412', 'a408', 'a517', 'a284', 'a111', 'a675', 'a542', 'a704', 'a578', 'a369', 'a656']
['a13', 'a832', 'a858', 'a875', 'a590', 'a816', 'a225', 'a359', 'a40', 'a447', 'a368', 'a833', 'a104', 'a163', 'a533']
['a79', 'a403', 'a479', 'a398', 'a881', 'a722', 'a321', 'a276', 'a176', 'a93', 'a296', 'a814', 'a841', 'a481', 'a5']
['a889', 'a195', 'a199', 'a728', 'a751', 'a378', 'a755', 'a277', 'a98', 'a365', 'a450', 'a792', 'a753', 'a777', 'a404']
['a360', 'a295', 'a349', 'a570', 'a686', 'a856', 'a530', 'a302', 'a36', 'a143', 'a735', 'a478', 'a754', 'a213', 'a505']
['a332', 'a151', 'a25', 'a77', 'a791', 'a383', 'a491', 'a192', 'a437', 'a724', 'a499', 'a430', 'a701', 'a187', 'a697']
['a518', 'a138', 'a588', 'a314', 'a871', 'a861', 'a789', 'a377', 'a313', 'a48', 'a132', 'a822', 'a325', 'a535', 'a449']
['a59', 'a742', 'a222', 'a670', 'a707', 'a85', 'a511', 'a862', 'a242', 'a632', 'a212', 'a612', 'a142', 'a259', 'a114']
['a520', 'a445', 'a494', 'a721', 'a630', 'a43', 'a498', 'a821', 'a898', 'a206', 'a83', 'a467', 'a748', 'a68', 'a409']
['a380', 'a771', 'a710', 'a645', 'a752', 'a692', 'a28', 'a130', 'a290', 'a251', 'a565', 'a317', 'a681', 'a885', 'a271']
['a261', 'a64', 'a749', 'a134', 'a362', 'a272', 'a773', 'a583', 'a501', 'a243', 'a99', 'a611', 'a51', 'a82', 'a350']
['a712', 'a431', 'a476', 'a306', 'a653', 'a387', 'a541', 'a664', 'a190', 'a713', 'a248', 'a19', 'a165', 'a316', 'a52']
['a464', 'a15', 'a374', 'a278', 'a638', 'a344', 'a291', 'a100', 'a167', 'a250', 'a238', 'a619', 'a287', 'a147', 'a621']
['a887', 'a740', 'a545', 'a715', 'a136', 'a458', 'a274', 'a244', 'a422', 'a65', 'a600', 'a265', 'a30', 'a318', 'a768']
['a672', 'a170', 'a423', 'a96', 'a224', 'a795', 'a157', 'a376', 'a101', 'a663', 'a461', 'a415', 'a215', 'a106', 'a145']
['a508', 'a289', 'a709', 'a116', 'a372', 'a191', 'a561', 'a846', 'a141', 'a438', 'a676', 'a796', 'a603', 'a341', 'a304']
['a88', 'a309', 'a232', 'a782', 'a435', 'a837', 'a747', 'a210', 'a589', 'a797', 'a717', 'a802', 'a264', 'a126', 'a760']
['a516', 'a156', 'a80', 'a50', 'a307', 'a745', 'a682', 'a828', 'a872', 'a859', 'a714', 'a744', 'a757', 'a601', 'a267']
['a487', 'a671', 'a794', 'a67', 'a131', 'a252', 'a500', 'a591', 'a525', 'a599', 'a128', 'a338', 'a203', 'a495', 'a45']
['a587', 'a312', 'a417', 'a504', 'a29', 'a439', 'a484', 'a549', 'a485', 'a303', 'a553', 'a375', 'a650', 'a373', 'a640']
['a186', 'a783', 'a830', 'a772', 'a414', 'a515', 'a301', 'a31', 'a594', 'a346', 'a896', 'a688', 'a729', 'a175', 'a180']
['a124', 'a576', 'a734', 'a536', 'a720', 'a506', 'a706', 'a788', 'a411', 'a865', 'a510', 'a425', 'a514', 'a633', 'a778']
['a817', 'a108', 'a201', 'a183', 'a874', 'a416', 'a46', 'a209', 'a197', 'a129', 'a852', 'a33', 'a608', 'a575', 'a726']
['a17', 'a582', 'a593', 'a764', 'a49', 'a119', 'a848', 'a137', 'a76', 'a586', 'a643', 'a149', 'a434', 'a765', 'a299']
['a819', 'a463', 'a393', 'a571', 'a20', 'a529', 'a528', 'a711', 'a198', 'a597', 'a205', 'a761', 'a605', 'a382', 'a810']
['a155', 'a604', 'a890', 'a824', 'a399', 'a247', 'a92', 'a855', 'a348', 'a139', 'a598', 'a337', 'a573', 'a762', 'a171']
['a799', 'a394', 'a860', 'a285', 'a262', 'a428', 'a166', 'a836', 'a310', 'a2', 'a181', 'a660', 'a469', 'a849', 'a95']
['a391', 'a646', 'a343', 'a454', 'a164', 'a112', 'a815', 'a400', 'a6', 'a853', 'a893', 'a358', 'a38', 'a342', 'a355']
['a460', 'a27', 'a230', 'a363', 'a584', 'a566', 'a492', 'a557', 'a739', 'a809', 'a103', 'a245', 'a741', 'a546', 'a361']
['a490', 'a42', 'a168', 'a521', 'a311', 'a678', 'a185', 'a793', 'a667', 'a842', 'a614', 'a540', 'a87', 'a53', 'a37']
['a524', 'a877', 'a105', 'a596', 'a844', 'a763', 'a263', 'a698', 'a616', 'a532', 'a831', 'a746', 'a72', 'a26', 'a148']
['a680', 'a397', 'a90', 'a364', 'a47', 'a384', 'a531', 'a73', 'a801', 'a237', 'a462', 'a674', 'a194', 'a18', 'a468']
['a236', 'a89', 'a691', 'a727', 'a453', 'a283', 'a683', 'a556', 'a107', 'a327', 'a497', 'a523', 'a305', 'a651', 'a644']
['a102', 'a708', 'a850', 'a308', 'a526', 'a23', 'a843', 'a266', 'a750', 'a544', 'a249', 'a563', 'a392', 'a275', 'a689']
['a444', 'a876', 'a211', 'a446', 'a662', 'a71', 'a900', 'a216', 'a254', 'a488', 'a202', 'a547', 'a639', 'a357', 'a551']
['a39', 'a419', 'a769', 'a177', 'a55', 'a208', 'a410', 'a173', 'a11', 'a178', 'a470', 'a883', 'a388', 'a418', 'a113']
['a193', 'a658', 'a140', 'a486', 'a253', 'a820', 'a63', 'a699', 'a690', 'a595', 'a110', 'a811', 'a617', 'a9', 'a451']
['a857', 'a60', 'a158', 'a207', 'a35', 'a436', 'a774', 'a592', 'a723', 'a743', 'a288', 'a396', 'a829', 'a223', 'a823']
['a886', 'a835', 'a493', 'a654', 'a684', 'a834', 'a427', 'a367', 'a12', 'a781', 'a804', 'a631', 'a204', 'a606', 'a629']
['a785', 'a627', 'a279', 'a152', 'a120', 'a385', 'a568', 'a555', 'a615', 'a3', 'a527', 'a200', 'a577', 'a649', 'a44']
['a550', 'a322', 'a534', 'a118', 'a818', 'a807', 'a21', 'a356', 'a370', 'a581', 'a759', 'a864', 'a775', 'a610', 'a293']
['a805', 'a329', 'a702', 'a732', 'a352', 'a294', 'a482', 'a426', 'a292', 'a892', 'a758', 'a677', 'a703', 'a457', 'a366']
['a784', 'a233', 'a32', 'a569', 'a537', 'a300', 'a159', 'a256', 'a507', 'a135', 'a127', 'a685', 'a839', 'a326', 'a354']
