['10', '864', '953', '333', '129', '108', '107', '162', '766', '109', '253', '280', '610', '579', '72', '517', '948', '364', '833', '295', '594', '44', '249', '670', '381', '636', '54', '26', '929', '597', '908', '267', '944', '672', '464', '585', '813']
['937', '186', '601', '75', '586', '241', '419', '905', '63', '816', '178', '306', '396', '904', '51', '562', '461', '539', '86', '723', '230', '781', '507', '576', '685', '873', '542', '202', '749', '771', '951', '842', '339', '907', '643', '17', '928']
['337', '654', '962', '413', '391', '68', '911', '548', '205', '966', '494', '293', '192', '246', '734', '761', '550', '512', '131', '439', '370', '331', '376', '359', '554', '61', '509', '900', '353', '775', '719', '128', '564', '208', '458', '469', '161']
['604', '773', '763', '213', '91', '103', '311', '725', '173', '600', '862', '400', '79', '66', '181', '616', '838', '417', '149', '13', '74', '814', '292', '926', '934', '232', '428', '669', '899', '906', '83', '850', '22', '399', '743', '663', '193']
['856', '279', '949', '152', '43', '98', '142', '892', '502', '444', '998', '366', '321', '135', '262', '599', '921', '300', '872', '584', '168', '694', '175', '416', '804', '257', '979', '673', '690', '851', '991', '883', '954', '625', '561', '478', '126']
['221', '94', '482', '133', '860', '924', '828', '514', '559', '404', '255', '102', '454', '931', '211', '251', '227', '495', '491', '611', '222', '916', '69', '25', '982', '18', '121', '977', '765', '867', '679', '967', '614', '59', '52', '777', '730']
['496', '936', '890', '360', '354', '891', '38', '319', '226', '960', '195', '969', '721', '57', '623', '729', '938', '47', '243', '920', '727', '647', '50', '572', '355', '219', '58', '684', '302', '532', '524', '530', '265', '841', '415', '423', '736']
['859', '537', '215', '887', '581', '410', '238', '206', '154', '155', '942', '363', '166', '888', '543', '972', '236', '812', '567', '632', '503', '686', '699', '435', '791', '2', '809', '483', '968', '609', '994', '918', '716', '335', '575', '529', '753']
['767', '153', '9', '751', '120', '582', '947', '815', '342', '466', '328', '269', '653', '651', '89', '287', '810', '497', '266', '124', '626', '411', '438', '935', '738', '476', '385', '861', '84', '307', '845', '996', '927', '993', '218', '680', '190']
['733', '317', '408', '486', '28', '125', '344', '477', '106', '878', '111', '224', '82', '140', '796', '615', '834', '441', '429', '884', '919', '981', '855', '724', '803', '245', '137', '332', '547', '875', '362', '318', '844', '42', '220', '481', '692']
['179', '380', '737', '533', '188', '256', '605', '336', '770', '958', '805', '148', '989', '147', '830', '217', '340', '442', '150', '485', '367', '467', '341', '681', '315', '676', '184', '568', '291', '296', '620', '143', '20', '437', '303', '460', '640']
['917', '49', '406', '324', '452', '903', '630', '207', '235', '308', '393', '386', '544', '62', '882', '480', '695', '275', '358', '105', '240', '258', '475', '214', '426', '797', '45', '939', '698', '956', '418', '87', '67', '658', '518', '821', '430']
['648', '134', '457', '523', '941', '122', '197', '432', '470', '369', '666', '649', '871', '48', '644', '505', '774', '715', '798', '793', '713', '100', '612', '973', '462', '297', '285', '31', '592', '450', '768', '401', '151', '239', '433', '170', '992']
['799', '427', '657', '779', '832', '145', '854', '431', '782', '689', '886', '519', '912', '839', '493', '12', '510', '384', '752', '138', '671', '591', '863', '836', '596', '248', '71', '101', '840', '525', '228', '500', '521', '199', '484', '885', '158']
['638', '894', '326', '745', '459', '930', '933', '508', '778', '915', '637', '421', '37', '273', '583', '515', '785', '14', '436', '914', '320', '618', '762', '397', '827', '746', '290', '708', '706', '264', '160', '703', '675', '39', '961', '534', '373']
