['483', '876', '940', '137', '382']
['347', '652', '19', '192', '96']
['48', '74', '843', '767', '405']
['201', '738', '140', '464', '538']
['793', '602', '980', '868', '123']
['268', '894', '845', '397', '194']
['4', '960', '762', '44', '875']
['554', '969', '954', '261', '606']
['922', '84', '230', '27', '60']
['735', '267', '916', '251', '671']
['14', '176', '972', '363', '710']
['484', '635', '116', '887', '229']
['35', '20', '568', '291', '77']
['258', '548', '925', '470', '474']
['298', '984', '935', '545', '6']
['601', '763', '571', '622', '517']
['917', '551', '665', '981', '93']
['585', '278', '141', '5', '629']
['99', '393', '700', '683', '861']
['329', '624', '94', '299', '290']
['455', '149', '211', '0', '150']
['900', '812', '82', '697', '234']
['872', '270', '919', '162', '499']
['810', '407', '578', '676', '573']
['338', '152', '92', '909', '387']
['314', '701', '292', '743', '404']
['806', '467', '359', '930', '809']
['600', '242', '57', '277', '730']
['360', '325', '432', '877', '745']
['59', '543', '304', '303', '355']
['159', '426', '662', '469', '649']
['933', '442', '488', '440', '190']
['814', '380', '213', '212', '210']
['609', '858', '659', '237', '801']
['945', '337', '948', '198', '36']
['154', '728', '618', '434', '723']
['524', '11', '343', '130', '720']
['221', '433', '983', '300', '706']
['694', '85', '62', '119', '366']
['17', '511', '831', '416', '289']
['675', '367', '65', '596', '660']
['890', '56', '411', '206', '535']
['458', '481', '163', '736', '715']
['982', '850', '842', '638', '795']
['45', '417', '614', '22', '522']
['415', '453', '177', '418', '30']
['225', '171', '117', '250', '158']
['463', '160', '519', '47', '332']
['681', '612', '534', '833', '165']
['666', '713', '127', '436', '471']
['259', '87', '79', '445', '284']
['297', '944', '516', '899', '755']
['76', '317', '319', '874', '897']
['880', '679', '475', '696', '310']
['500', '91', '970', '513', '656']
['718', '40', '603', '263', '320']
['668', '204', '815', '118', '69']
['184', '247', '181', '138', '131']
['799', '427', '437', '797', '449']
['435', '564', '956', '987', '145']
['721', '316', '506', '915', '144']
['203', '716', '107', '495', '637']
['472', '867', '734', '498', '220']
['748', '447', '778', '509', '462']
['863', '125', '342', '931', '777']
['371', '918', '364', '26', '613']
['971', '967', '419', '807', '479']
['893', '962', '401', '323', '187']
['582', '351', '61', '955', '356']
['340', '957', '358', '308', '465']
['923', '7', '197', '195', '593']
['43', '114', '322', '151', '579']
['485', '837', '974', '173', '536']
['707', '825', '634', '42', '461']
['907', '391', '466', '133', '657']
