['383', '215', '941', '887', '548', '590', '600', '881', '409', '536', '313', '198', '13', '752', '780', '754', '377', '791', '749', '113', '564', '204', '952', '663', '561']
['49', '389', '712', '196', '953', '815', '152', '205', '549', '689', '237', '846', '63', '882', '240', '787', '632', '589', '121', '990', '187', '87', '225', '826', '494']
['856', '601', '849', '860', '721', '666', '189', '280', '811', '50', '833', '0', '714', '596', '955', '443', '21', '708', '977', '291', '209', '177', '575', '753', '190']
['134', '457', '188', '870', '311', '43', '130', '412', '444', '915', '77', '896', '599', '72', '368', '574', '392', '468', '723', '722', '950', '688', '484', '239', '593']
['445', '936', '763', '336', '263', '404', '207', '526', '778', '275', '774', '647', '100', '364', '164', '902', '979', '440', '428', '116', '677', '996', '500', '460', '59']
['427', '153', '91', '129', '398', '448', '73', '454', '64', '540', '447', '48', '834', '306', '146', '365', '591', '353', '467', '80', '97', '739', '433', '652', '30']
['496', '34', '482', '728', '106', '162', '472', '140', '759', '178', '480', '331', '713', '852', '788', '800', '822', '943', '487', '307', '418', '944', '672', '265', '296']
['799', '894', '233', '406', '745', '580', '734', '656', '505', '347', '105', '987', '370', '261', '611', '755', '455', '609', '78', '592', '568', '506', '229', '578', '298']
['337', '779', '408', '595', '646', '975', '123', '147', '47', '560', '621', '292', '539', '503', '372', '635', '476', '524', '36', '267', '844', '85', '995', '143', '216']
['231', '931', '66', '243', '874', '664', '515', '694', '633', '257', '587', '636', '829', '507', '5', '674', '906', '119', '525', '458', '625', '53', '286', '415', '170']
['917', '338', '758', '352', '858', '627', '651', '149', '434', '287', '491', '789', '509', '699', '137', '804', '673', '104', '160', '139', '660', '39', '821', '885', '126']
['17', '360', '212', '817', '581', '498', '732', '989', '57', '761', '109', '893', '393', '181', '112', '973', '172', '641', '827', '285', '165', '986', '20', '157', '218']
['638', '962', '446', '937', '125', '403', '452', '891', '878', '470', '957', '888', '884', '436', '488', '495', '230', '367', '588', '738', '290', '748', '845', '683', '208']
['9', '807', '744', '420', '334', '622', '691', '610', '653', '12', '300', '349', '422', '724', '411', '99', '880', '101', '684', '250', '83', '449', '193', '531', '144']
['717', '173', '110', '379', '637', '262', '27', '236', '384', '424', '359', '323', '295', '783', '939', '69', '54', '899', '302', '184', '624', '802', '675', '907', '993']
['999', '94', '186', '665', '76', '108', '514', '667', '348', '192', '135', '363', '251', '628', '740', '439', '258', '138', '58', '762', '185', '929', '456', '362', '700']
