['145', '344', '477', '538', '600', '586', '766', '896', '181', '731', '243', '656', '349', '752', '884', '424', '32', '914', '40', '381', '659', '5', '116', '564', '875', '42', '768', '401', '658', '739', '52']
['767', '317', '333', '559', '630', '410', '242', '375', '761', '41', '434', '584', '358', '325', '926', '50', '491', '219', '276', '307', '304', '897', '87', '22', '530', '464', '471', '167', '952', '177', '303']
['445', '402', '648', '941', '662', '760', '924', '263', '407', '211', '223', '140', '72', '368', '628', '948', '830', '382', '329', '932', '394', '137', '35', '443', '684', '288', '450', '842', '573', '220', '529']
['786', '807', '338', '665', '197', '281', '195', '369', '689', '778', '915', '472', '637', '7', '82', '166', '888', '149', '217', '889', '925', '320', '557', '245', '232', '476', '21', '716', '850', '484', '53']
['859', '186', '233', '252', '693', '91', '817', '717', '725', '548', '770', '395', '226', '123', '93', '47', '574', '543', '89', '913', '0', '934', '230', '591', '159', '516', '720', '585', '525', '565', '17']
['70', '712', '523', '311', '605', '535', '577', '107', '106', '409', '732', '622', '729', '77', '262', '550', '838', '198', '429', '451', '492', '910', '650', '69', '378', '85', '151', '511', '566', '867', '593']
['490', '94', '936', '457', '326', '728', '745', '552', '136', '238', '241', '308', '931', '946', '299', '785', '340', '475', '365', '551', '829', '371', '54', '289', '524', '956', '83', '356', '59', '545', '692']
['34', '853', '849', '188', '403', '595', '453', '231', '110', '735', '466', '920', '258', '724', '818', '632', '61', '769', '495', '714', '507', '71', '726', '706', '285', '784', '660', '399', '701', '449', '458']
['463', '134', '937', '890', '763', '65', '482', '354', '891', '336', '958', '541', '334', '393', '912', '275', '347', '436', '174', '831', '45', '435', '673', '522', '738', '690', '645', '191', '500', '170', '158']
['496', '870', '173', '309', '73', '555', '246', '808', '112', '644', '131', '868', '727', '825', '96', '240', '370', '855', '15', '803', '754', '783', '613', '950', '267', '620', '847', '239', '614', '531', '753']
['203', '903', '319', '142', '118', '400', '489', '617', '29', '922', '310', '544', '921', '816', '27', '740', '833', '503', '201', '669', '254', '290', '547', '748', '114', '270', '187', '841', '157', '663', '343']
['9', '183', '837', '499', '152', '387', '508', '526', '55', '843', '126', '280', '63', '871', '363', '812', '355', '249', '722', '569', '101', '95', '210', '802', '688', '944', '556', '927', '228', '795', '730']
['221', '638', '864', '815', '949', '342', '46', '454', '294', '253', '79', '796', '579', '37', '747', '806', '392', '787', '359', '364', '86', '377', '618', '873', '771', '918', '1', '259', '954', '481', '298']
['380', '604', '413', '391', '324', '744', '634', '38', '846', '66', '493', '594', '172', '222', '686', '124', '781', '16', '244', '895', '742', '184', '845', '683', '265', '741', '199', '437', '810', '652', '680']
['751', '115', '581', '687', '858', '558', '571', '419', '163', '62', '603', '512', '904', '74', '439', '919', '14', '442', '214', '468', '462', '588', '827', '822', '330', '33', '296', '469', '575', '826', '190']
['179', '49', '832', '452', '448', '235', '470', '182', '886', '682', '691', '519', '92', '798', '216', '331', '44', '200', '150', '485', '789', '426', '939', '698', '635', '602', '121', '36', '113', '127', '256']
['103', '960', '862', '619', '117', '756', '277', '287', '283', '621', '793', '572', '820', '554', '539', '655', '710', '863', '788', '141', '746', '374', '772', '185', '675', '553', '672', '209', '357', '643', '6']
