['413', '523', '870', '947', '605', '387', '73', '508', '697', '921', '793', '351', '50', '405', '641', '742', '677', '624', '362', '42', '765', '841', '199', '303', '343']
['233', '183', '582', '431', '630', '541', '946', '905', '253', '77', '262', '363', '756', '838', '271', '300', '857', '468', '245', '659', '522', '929', '208', '449', '6']
['528', '333', '770', '498', '379', '444', '447', '198', '149', '740', '277', '283', '988', '710', '611', '979', '244', '755', '943', '690', '84', '702', '119', '506', '730']
['406', '744', '342', '930', '309', '470', '570', '223', '888', '429', '331', '787', '475', '572', '61', '554', '557', '626', '673', '184', '87', '127', '720', '620', '437']
['186', '408', '197', '960', '862', '102', '466', '759', '823', '14', '227', '322', '699', '587', '381', '69', '527', '899', '609', '918', '585', '20', '658', '810', '510']
['383', '324', '953', '352', '195', '251', '909', '868', '520', '987', '370', '852', '769', '932', '249', '509', '588', '428', '21', '851', '940', '824', '625', '511', '692']
['486', '552', '717', '558', '407', '242', '375', '792', '747', '89', '898', '287', '299', '983', '168', '780', '86', '164', '635', '374', '450', '672', '143', '521', '565']
['648', '49', '457', '326', '965', '163', '550', '386', '606', '505', '563', '156', '422', '292', '261', '323', '833', '58', '613', '307', '286', '229', '415', '885', '126']
['936', '853', '937', '776', '559', '38', '646', '878', '682', '761', '224', '82', '421', '368', '651', '96', '217', '934', '618', '367', '698', '113', '802', '357', '4']
['263', '667', '316', '619', '502', '691', '540', '109', '922', '884', '562', '150', '485', '137', '171', '791', '726', '385', '883', '639', '679', '157', '575', '795', '499']
['894', '391', '837', '129', '344', '226', '866', '135', '48', '327', '964', '240', '382', '436', '222', '274', '636', '288', '956', '85', '927', '239', '144', '432', '848']
['799', '767', '482', '196', '924', '11', '154', '192', '147', '839', '243', '426', '503', '388', '377', '411', '353', '809', '746', '861', '840', '455', '59', '876', '170']
['70', '427', '134', '807', '751', '712', '662', '110', '617', '599', '140', '81', '774', '804', '35', '315', '264', '267', '568', '995', '259', '743', '531', '813', '640']
