['806', '337', '396', '75', '861']
['150', '797', '373', '451', '240']
['371', '974', '833', '434', '594']
['754', '541', '257', '612', '461']
['168', '999', '52', '798', '855']
['600', '454', '226', '295', '400']
['51', '529', '978', '902', '706']
['288', '480', '965', '539', '343']
['959', '224', '776', '715', '369']
['929', '247', '439', '261', '892']
['768', '532', '980', '210', '887']
['940', '393', '419', '696', '606']
['854', '835', '100', '673', '448']
['748', '571', '449', '121', '877']
['264', '704', '410', '290', '572']
['574', '36', '743', '6', '958']
['881', '456', '506', '424', '378']
['865', '306', '408', '973', '709']
['284', '557', '412', '171', '993']
['496', '651', '827', '796', '937']
['623', '962', '883', '161', '132']
['472', '808', '421', '744', '71']
['781', '725', '503', '386', '32']
['155', '888', '370', '811', '294']
['585', '452', '239', '894', '263']
['621', '499', '256', '194', '318']
['136', '982', '718', '83', '889']
['445', '641', '915', '520', '331']
['880', '581', '34', '948', '340']
['299', '182', '106', '397', '382']
['752', '325', '453', '197', '736']
['35', '351', '992', '549', '533']
['399', '605', '177', '328', '932']
['360', '969', '994', '97', '803']
['81', '719', '988', '540', '96']
['242', '698', '147', '771', '875']
['930', '747', '232', '663', '447']
['179', '596', '828', '819', '785']
['322', '175', '70', '455', '185']
['348', '510', '567', '317', '953']
['534', '94', '246', '0', '335']
['967', '258', '313', '158', '729']
['99', '716', '73', '807', '578']
['76', '681', '349', '591', '245']
['268', '680', '3', '152', '485']
['119', '458', '162', '19', '2']
['108', '113', '50', '117', '275']
['897', '254', '588', '610', '528']
['599', '564', '82', '470', '404']
['203', '642', '53', '193', '801']
['14', '611', '287', '104', '590']
['341', '273', '628', '786', '118']
['125', '350', '566', '521', '413']
['842', '493', '727', '998', '300']
['971', '98', '652', '851', '464']
['500', '853', '682', '830', '30']
['689', '700', '603', '250', '818']
['921', '109', '760', '732', '820']
['321', '782', '459', '913', '271']
['511', '794', '87', '583', '267']
['253', '139', '626', '592', '615']
['89', '660', '848', '430', '355']
['435', '984', '407', '914', '272']
['298', '730', '906', '514', '387']
['609', '957', '749', '772', '970']
['800', '527', '80', '631', '668']
['872', '352', '91', '633', '391']
['24', '554', '904', '643', '661']
['638', '733', '968', '809', '871']
['127', '991', '676', '963', '156']
['423', '230', '60', '777', '107']
['62', '864', '274', '420', '69']
['110', '659', '821', '683', '465']
['912', '304', '362', '443', '525']
['178', '518', '946', '576', '479']
['286', '664', '209', '92', '836']
['29', '428', '462', '587', '215']
['866', '380', '164', '697', '553']
['291', '742', '324', '909', '338']
