['378', '631', '576', '443', '48']
['666', '872', '322', '717', '237']
['568', '999', '776', '103', '504']
['609', '294', '422', '498', '706']
['168', '177', '831', '364', '448']
['751', '812', '194', '734', '404']
['643', '423', '687', '826', '244']
['35', '107', '106', '981', '283']
['14', '716', '966', '193', '572']
['172', '789', '41', '261', '700']
['927', '526', '964', '122', '263']
['600', '541', '437', '165', '843']
['860', '616', '390', '928', '191']
['581', '532', '56', '228', '518']
['268', '13', '514', '791', '51']
['360', '793', '815', '804', '33']
['490', '309', '841', '867', '243']
