['A14', 'B14', 'C14']
['B98', 'F78', 'A98']
['A85', 'D85', 'B85']
['H11', 'G114', 'F20']
['B4', 'D4', 'C4']
['D86', 'B86', 'H66']
['C53', 'A53', 'D53']
['G28', 'C12', 'G27']
['G72', 'G106', 'E0']
['31', '42', '32']
['H105', 'H106', 'E106']
['D46', 'B46', 'A46']
['E76', 'H76', 'G76']
['F43', 'E43', 'G43']
['F49', 'D49', 'E49']
['E5', 'F106', 'G60']
['G23', 'E23', 'C90']
['70', 'C57', 'C56']
['H83', 'G18', 'H57']
['H46', 'E46', 'F46']
['G82', 'E82', 'F82']
['C0', 'A1', 'F1']
['20', '6', '10']
['A47', 'F47', 'B47']
['B17', 'F53', 'G68']
['A111', 'D111', 'B111']
['C84', 'E27', 'C85']
['F44', 'E44', 'G44']
['B40', 'H65', 'F19']
['D37', 'B37', 'A37']
['A34', 'H14', 'A107']
['A102', 'B102', 'F102']
['G113', 'C41', 'B38']
['F29', 'F55', 'E29']
['D113', 'C113', 'A113']
['B12', 'F110', 'E110']
['G34', 'E34', 'H9']
['C98', 'E98', 'D98']
['C82', 'A82', 'D82']
['D70', 'A70', 'C70']
['C47', 'C46', 'G93']
['H45', 'G45', 'E45']
['F69', 'H85', 'A69']
['H107', 'H108', 'A66']
['24', '25', '44']
['23', '29', '11']
['H30', 'E30', 'H29']
['C67', 'A67', 'C66']
['H22', 'F56', 'H21']
['F93', 'D93', 'E93']
['D11', 'G67', 'C109']
['C11', 'G0', 'B45']
['G36', 'C83', 'G22']
['D56', 'E56', 'B56']
['G107', 'A81', 'A114']
['66', 'E55', 'H3']
['H62', 'H61', 'B92']
['G77', 'E77', 'A10']
['F27', 'H78', 'B2']
['A17', 'F17', 'E17']
['D64', 'C64', 'F66']
['H93', 'C25', 'D25']
['B90', 'A90', 'D90']
['B100', 'D97', 'G50']
['B32', 'H72', 'E72']
['B93', 'B71', 'A93']
['A101', 'B101', 'F101']
['D6', 'C6', 'A6']
['G96', 'E96', 'D96']
['D29', 'B29', 'D38']
['C27', 'D27', 'A27']
['H18', 'H17', 'C9']
['G19', 'H75', 'G78']
['F90', 'C45', 'C44']
['E100', 'G100', 'H100']
['F31', 'G54', 'B78']
['E60', 'D73', 'F109']
['H109', 'E109', 'H110']
['G102', 'E102', '69']
['E99', 'H99', 'G99']
['B24', 'D12', 'B7']
['E88', 'F88', 'G88']
['G66', 'F99', '51']
['B0', 'A0', 'D0']
['H10', 'E39', 'F6']
['D84', 'B84', 'A84']
['C100', 'A100', 'D100']
['E50', 'F50', 'H50']
['B43', 'A43', 'D43']
['G108', 'E108', 'F114']
['E53', 'H53', 'H54']
['B53', 'G53', 'F36']
['C63', 'C37', 'G49']
['G35', 'D105', 'F71']
['G55', '57', 'F94']
['H71', 'B42', 'F98']
['E47', 'G47', 'D47']
['G17', 'B114', 'G26']
['A80', 'G111', 'E111']
['C62', 'G63']
['G56', 'G16', 'A55']
['E3', 'H1', 'F3']
['E78', 'H8', 'E8']
['D87', 'C87', 'A87']
['B66', 'D66', 'E66']
['C88', 'A88', 'B88']
['H86', 'G86', 'E86']
['A91', 'C91', 'F91']
['A77', 'D77', 'B77']
['G74', 'G39', 'B22']
['37', '40', '47']
['43', '45', '27']
['G48', 'E114', 'A3']
['D51', 'C51', 'B51']
['16', '13', 'D17']
['39', 'H77', 'F0']
['F13', 'E13', 'A32']
['A38', 'E38', 'F38']
['A42', 'C42', 'D42']
['H68', 'E68', 'C95']
['B9', 'F70', 'F111']
['E14', 'F14', 'D14']
['H56', 'H55', 'C5']
['H47', 'B59', 'H48']
['49', 'C99', 'G15']
['C33', 'B95', 'D95']
['H16', 'G4', 'E16']
['F80', 'E80', 'H80']
['56', 'F77', 'G61']
['F23', 'B25', 'G105']
['E90', 'G90', 'H90']
['36', 'B6', 'H40']
['E61', 'C61', 'D61']
['F48', 'A9', 'E48']
['B108', 'G10', 'F100']
['G98', 'F75', 'D5']
['G3', 'A49', 'H0']
['E74', 'H73', 'H74']
['E58', 'F58', 'A58']
['D80', 'C80', 'B80']
['C78', 'C79', 'A78']
['G12', 'E12', 'H12']
['D114', '65', 'G13']
['H43', 'A8', 'H44']
['H36', 'E36', 'B49']
['G11', 'G30', '33']
['H51', 'H52', 'D78']
['D8', 'G85', 'B39']
['F63', 'F54', 'A63']
['A61', 'F112', 'A112']
['H13', 'C32', 'G31']
['48', 'F12', 'A12']
['B11', 'B31', 'B58']
['B81', 'C81', 'D81']
['A18', 'B18', 'F18']
['F15', 'A15', 'C15']
['E87', 'G87', 'F87']
['F24', 'H58', 'C43']
['B27', 'F76', 'B87']
['C74', 'D74', 'C101']
['F8', 'B10', 'H111']
['D91', 'C73', 'B91']
['A30', 'F30', 'B30']
['F39', 'B75', 'H5']
['G38', 'D15', 'B15']
['H33', 'F42', 'H34']
['F7', 'C110', 'C111']
['G32', 'B83', '50']
['H89', '8', 'B23']
['G59', 'F108', 'D30']
['D112', 'C49', 'G80']
['B112', 'H96', 'H95']
['G70', 'D40', 'E40']
['D13', 'H49', 'C13']
['F5', 'B5', 'A5']
['C89', 'F28', 'A28']
['H115', 'B115', 'A115']
['D48', 'B36', 'C48']
['G104', 'G41', 'C94']
['G91', 'C31', 'C30']
['F84', 'C58', 'F41']
['E1', 'B16', 'G25']
['59', '64', '60']
